a,k,z,n,steps
20,0,1,22,15
20,0,2,23,15
20,0,3,24,10
20,0,4,25,23
20,1,1,82,110
20,1,2,83,110
20,1,3,84,9
20,1,4,85,9
20,2,1,322,99
20,2,2,323,99
20,2,3,324,24
20,2,4,325,24
20,3,1,1282,52
20,3,2,1283,52
20,3,3,1284,26
20,3,4,1285,26
20,4,1,5122,147
20,4,2,5123,147
20,4,3,5124,54
20,4,4,5125,54
20,5,1,20482,180
20,5,2,20483,180
20,5,3,20484,43
20,5,4,20485,43
20,6,1,81922,182
20,6,2,81923,182
20,6,3,81924,182
20,6,4,81925,182
20,7,1,327682,259
20,7,2,327683,259
20,7,3,327684,65
20,7,4,327685,65
20,8,1,1310722,186
20,8,2,1310723,186
20,8,3,1310724,142
20,8,4,1310725,142
20,9,1,5242882,175
20,9,2,5242883,175
20,9,3,5242884,144
20,9,4,5242885,144
24,0,1,26,10
24,0,2,27,111
24,0,3,28,18
24,0,4,29,18
24,1,1,98,25
24,1,2,99,25
24,1,3,100,25
24,1,4,101,25
24,2,1,386,120
24,2,2,387,120
24,2,3,388,120
24,2,4,389,120
24,3,1,1538,34
24,3,2,1539,34
24,3,3,1540,34
24,3,4,1541,34
24,4,1,6146,111
24,4,2,6147,111
24,4,3,6148,155
24,4,4,6149,155
24,5,1,24578,51
24,5,2,24579,51
24,5,3,24580,51
24,5,4,24581,51
24,6,1,98306,97
24,6,2,98307,97
24,6,3,98308,97
24,6,4,98309,97
24,7,1,393218,99
24,7,2,393219,99
24,7,3,393220,99
24,7,4,393221,99
24,8,1,1572866,70
24,8,2,1572867,70
24,8,3,1572868,101
24,8,4,1572869,101
24,9,1,6291458,165
24,9,2,6291459,165
24,9,3,6291460,165
24,9,4,6291461,165
28,0,1,30,18
28,0,2,31,106
28,0,3,32,5
28,0,4,33,26
28,1,1,114,33
28,1,2,115,33
28,1,3,116,20
28,1,4,117,20
28,2,1,450,53
28,2,2,451,53
28,2,3,452,14
28,2,4,453,14
28,3,1,1794,68
28,3,2,1795,68
28,3,3,1796,117
28,3,4,1797,117
28,4,1,7170,75
28,4,2,7171,75
28,4,3,7172,119
28,4,4,7173,119
28,5,1,28674,77
28,5,2,28675,77
28,5,3,28676,77
28,5,4,28677,77
28,6,1,114690,105
28,6,2,114691,105
28,6,3,114692,79
28,6,4,114693,79
28,7,1,458754,156
28,7,2,458755,156
28,7,3,458756,107
28,7,4,458757,107
28,8,1,1835010,202
28,8,2,1835011,202
28,8,3,1835012,109
28,8,4,1835013,109
28,9,1,7340034,204
28,9,2,7340035,204
28,9,3,7340036,204
28,9,4,7340037,204
32,0,1,34,13
32,0,2,35,13
32,0,3,36,21
32,0,4,37,21
32,1,1,130,28
32,1,2,131,28
32,1,3,132,28
32,1,4,133,28
32,2,1,514,123
32,2,2,515,123
32,2,3,516,123
32,2,4,517,123
32,3,1,2050,37
32,3,2,2051,37
32,3,3,2052,37
32,3,4,2053,37
32,4,1,8194,114
32,4,2,8195,114
32,4,3,8196,158
32,4,4,8197,158
32,5,1,32770,54
32,5,2,32771,54
32,5,3,32772,54
32,5,4,32773,54
32,6,1,131074,100
32,6,2,131075,100
32,6,3,131076,100
32,6,4,131077,100
32,7,1,524290,102
32,7,2,524291,102
32,7,3,524292,102
32,7,4,524293,102
32,8,1,2097154,73
32,8,2,2097155,73
32,8,3,2097156,104
32,8,4,2097157,104
32,9,1,8388610,168
32,9,2,8388611,168
32,9,3,8388612,168
32,9,4,8388613,168
36,0,1,38,21
36,0,2,39,34
36,0,3,40,8
36,0,4,41,109
36,1,1,146,116
36,1,2,147,116
36,1,3,148,23
36,1,4,149,23
36,2,1,578,30
36,2,2,579,30
36,2,3,580,118
36,2,4,581,118
36,3,1,2306,151
36,3,2,2307,151
36,3,3,2308,32
36,3,4,2309,32
36,4,1,9218,47
36,4,2,9219,47
36,4,3,9220,109
36,4,4,9221,109
36,5,1,36866,93
36,5,2,36867,93
36,5,3,36868,49
36,5,4,36869,49
36,6,1,147458,95
36,6,2,147459,95
36,6,3,147460,95
36,6,4,147461,95
36,7,1,589826,97
36,7,2,589827,97
36,7,3,589828,97
36,7,4,589829,97
36,8,1,2359298,161
36,8,2,2359299,161
36,8,3,2359300,68
36,8,4,2359301,68
36,9,1,9437186,163
36,9,2,9437187,163
36,9,3,9437188,163
36,9,4,9437189,163
40,0,1,42,8
40,0,2,43,29
40,0,3,44,16
40,0,4,45,16
40,1,1,162,23
40,1,2,163,23
40,1,3,164,111
40,1,4,165,111
40,2,1,642,25
40,2,2,643,25
40,2,3,644,100
40,2,4,645,100
40,3,1,2562,53
40,3,2,2563,53
40,3,3,2564,53
40,3,4,2565,53
40,4,1,10242,42
40,4,2,10243,42
40,4,3,10244,148
40,4,4,10245,148
40,5,1,40962,181
40,5,2,40963,181
40,5,3,40964,181
40,5,4,40965,181
40,6,1,163842,64
40,6,2,163843,64
40,6,3,163844,183
40,6,4,163845,183
40,7,1,655362,141
40,7,2,655363,141
40,7,3,655364,260
40,7,4,655365,260
40,8,1,2621442,143
40,8,2,2621443,143
40,8,3,2621444,187
40,8,4,2621445,187
44,0,1,46,16
44,0,2,47,104
44,0,3,48,11
44,0,4,49,24
44,1,1,178,31
44,1,2,179,31
44,1,3,180,18
44,1,4,181,18
44,2,1,706,126
44,2,2,707,126
44,2,3,708,33
44,2,4,709,33
44,3,1,2818,84
44,3,2,2819,84
44,3,3,2820,35
44,3,4,2821,35
44,4,1,11266,60
44,4,2,11267,60
44,4,3,11268,86
44,4,4,11269,86
44,5,1,45058,132
44,5,2,45059,132
44,5,3,45060,62
44,5,4,45061,62
44,6,1,180226,116
44,6,2,180227,116
44,6,3,180228,134
44,6,4,180229,134
44,7,1,720898,66
44,7,2,720899,66
44,7,3,720900,180
44,7,4,720901,180
44,8,1,2883586,125
44,8,2,2883587,125
44,8,3,2883588,68
44,8,4,2883589,68
48,0,1,50,24
48,0,2,51,24
48,0,3,52,11
48,0,4,53,11
48,1,1,194,119
48,1,2,195,119
48,1,3,196,26
48,1,4,197,26
48,2,1,770,33
48,2,2,771,33
48,2,3,772,121
48,2,4,773,121
48,3,1,3074,154
48,3,2,3075,154
48,3,3,3076,35
48,3,4,3077,35
48,4,1,12290,50
48,4,2,12291,50
48,4,3,12292,112
48,4,4,12293,112
48,5,1,49154,96
48,5,2,49155,96
48,5,3,49156,52
48,5,4,49157,52
48,6,1,196610,98
48,6,2,196611,98
48,6,3,196612,98
48,6,4,196613,98
48,7,1,786434,100
48,7,2,786435,100
48,7,3,786436,100
48,7,4,786437,100
48,8,1,3145730,164
48,8,2,3145731,164
48,8,3,3145732,71
48,8,4,3145733,71
